"spectrumID","distance","i"
"data//spec-2124-53770-0113.fits",0.655700519334659,-13
"data//spec-0390-51900-0010.fits",0.743737899634621,-98
"data//spec-2356-53786-0499.fits",0.74819698886288,-93
"data//spec-4391-55866-0036.fits",0.768693652865544,-80
"data//spec-5972-56334-0558.fits",0.777886286153579,-87
"data//spec-2913-54526-0229.fits",0.788972540073663,73
"data//spec-4058-55358-0634.fits",0.8135813655168,-57
"data//spec-4611-55603-0878.fits",0.816039195522868,-83
"data//spec-5331-55976-0504.fits",0.816393767234134,97
"data//spec-5047-55833-0214.fits",0.818664659114926,-97
"data//spec-1311-52765-0413.fits",0.825698370860089,-67
"data//spec-6064-56097-0818.fits",0.825929412393922,-99
"data//spec-2261-53612-0404.fits",0.828291511921718,78
"data//spec-7257-56658-0239.fits",0.830666685768382,-69
"data//spec-5454-56015-0641.fits",0.83157254061818,-99
"data//spec-1757-53083-0437.fits",0.83301649800286,-31
"data//spec-2620-54339-0453.fits",0.838165929354175,-38
"data//spec-4242-55476-0780.fits",0.842577742406033,-88
"data//spec-1728-53228-0337.fits",0.844049060094729,-95
"data//spec-5302-55896-0613.fits",0.84604192764079,-91
"data//spec-1301-52976-0123.fits",0.854980545921133,-44
"data//spec-6049-56091-0278.fits",0.855426688476042,-93
"data//spec-5793-56337-0530.fits",0.864806902316692,-99
"data//spec-1923-53319-0383.fits",0.866236096859523,-42
"data//spec-4176-55682-0865.fits",0.871561021127001,100
"data//spec-6008-56093-0606.fits",0.886390619222959,-95
"data//spec-3808-55513-0602.fits",0.896246543204701,-42
"data//spec-1232-52731-0467.fits",0.898256288048111,-62
"data//spec-1626-53472-0286.fits",0.899198447121579,62
"data//spec-6406-56330-0456.fits",0.905151128534819,-94
"data//spec-6620-56368-0501.fits",0.90651365660015,-97
"data//spec-6439-56358-0432.fits",0.910112932356475,-67
"data//spec-7395-57131-0208.fits",0.912802902634617,-97
"data//spec-7089-56661-0076.fits",0.912817893068584,-60
"data//spec-1719-53876-0095.fits",0.919053301887929,-71
"data//spec-7301-56746-0454.fits",0.919245163021356,-100
"data//spec-5301-55987-0190.fits",0.935649552352927,-87
"data//spec-1026-52558-0067.fits",0.9368818832133,-60
"data//spec-6145-56266-0755.fits",0.94279890331641,-88
"data//spec-7424-57160-0977.fits",0.946736621557518,-98
"data//spec-4464-55866-0887.fits",0.948328645606262,-99
"data//spec-2557-54178-0009.fits",0.95905953265042,93
"data//spec-2359-53826-0199.fits",0.96436713609377,-77
"data//spec-7235-56603-0338.fits",0.972082578223915,-69
"data//spec-4039-55648-0759.fits",0.975681405405703,-97
"data//spec-2382-54169-0116.fits",0.985310741232328,73
"data//spec-6656-56624-0929.fits",0.98657804092468,-99
"data//spec-7255-56597-0896.fits",0.994195924413751,-15
"data//spec-5015-55707-0294.fits",0.996538551047435,-78
"data//spec-5111-55840-0716.fits",1.00272309872894,-76
"data//spec-2634-54110-0244.fits",1.00471044855536,76
"data//spec-1382-53115-0469.fits",1.00582494931828,99
"data//spec-6803-56402-0747.fits",1.02297699461314,-99
"data//spec-4347-55830-0615.fits",1.02592972042672,-91
"data//spec-1997-53442-0041.fits",1.04692623995568,-58
"data//spec-1685-53463-0384.fits",1.05535755569663,-62
"data//spec-0509-52374-0631.fits",1.05560867768158,-83
"data//spec-5324-55947-0886.fits",1.05630910299548,-100
"data//spec-6465-56279-0857.fits",1.05669791186252,-49
"data//spec-1353-53083-0579.fits",1.061218273598,-54
"data//spec-1397-53119-0412.fits",1.06511296336037,-55
"data//spec-5397-55944-0285.fits",1.06788054224233,-95
"data//spec-4870-55923-0229.fits",1.06891880993773,-94
"data//spec-3755-55504-0496.fits",1.07129833158256,-88
"data//spec-2188-54595-0112.fits",1.072360351405,-98
"data//spec-6447-56362-0485.fits",1.07256800626307,-95
"data//spec-4494-55569-0447.fits",1.075824198614,-100
"data//spec-0924-52409-0636.fits",1.07685103864492,-89
"data//spec-0995-52731-0137.fits",1.07806291332939,-100
"data//spec-5027-56218-0605.fits",1.07849415744751,-64
